大分類名,工種名,細別名,基本歩掛名,所要日数作業単位_数量,所要日数作業単位_単位,歩掛作業単位_数量,歩掛作業単位_単位,名称,規格,単位,数量,摘要
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含む) 修復延べ体積0.1m³未満の場合,,,,1,構造物,断面修復材,,m³,,式4.1
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含む) 修復延べ体積0.1m³未満の場合,,,,1,構造物,諸雑費,,式,1,表4.10
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含む) 修復延べ体積0.1m³以上の場合,,,,1,構造物,土木一般世話役,,人,$V/0.1\times D2$,表4.2
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含む) 修復延べ体積0.1m³以上の場合,,,,1,構造物,特殊作業員,,人,$V/0.1\times D2$,
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含む) 修復延べ体積0.1m³以上の場合,,,,1,構造物,普通作業員,,人,$V/0.1\times D2$,
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含む) 修復延べ体積0.1m³以上の場合,,,,1,構造物,断面修復材,,m³,,式4.1
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含む) 修復延べ体積0.1m³以上の場合,,,,1,構造物,諸雑費,,式,1,表4.10
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含まない) 修復延べ体積0.1m³未満の場合,,,,1,構造物,土木一般世話役,,人,D3,表4.3
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含まない) 修復延べ体積0.1m³未満の場合,,,,1,構造物,特殊作業員,,人,D3,
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含まない) 修復延べ体積0.1m³未満の場合,,,,1,構造物,普通作業員,,人,D3,
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含まない) 修復延べ体積0.1m³未満の場合,,,,1,構造物,断面修復材,,m³,,式4.1
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法)(鉄筋ケレン・鉄筋防錆処理を含まない) 修復延べ体積0.1m³未満の場合,,,,1,構造物,諸雑費,,式,1,表4.10
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法) (鉄筋ケレン・鉄筋防錆処理を含まない) 修復延べ体積0.1m³以上の場合,,,,1,構造物,土木一般世話役,,人,$V/0.1\times D4$,表4.4
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法) (鉄筋ケレン・鉄筋防錆処理を含まない) 修復延べ体積0.1m³以上の場合,,,,1,構造物,特殊作業員,,人,$V/0.1\times D4$,
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法) (鉄筋ケレン・鉄筋防錆処理を含まない) 修復延べ体積0.1m³以上の場合,,,,1,構造物,普通作業員,,人,$V/0.1\times D4$,
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法) (鉄筋ケレン・鉄筋防錆処理を含まない) 修復延べ体積0.1m³以上の場合,,,,1,構造物,断面修復材,,m³,,式4.1
共通工,構造物補修工 断面修復工 (左官工法),断面修復工(左官工法) (鉄筋ケレン・鉄筋防錆処理を含まない) 修復延べ体積0.1m³以上の場合,,,,1,構造物,諸雑費,,式,1,表4.10
共通工,構造物補修工 断面修復工 (左官工法),コンクリート殻積込・運搬(断面修復工),,,,10,m³,普通作業員,,人,1×10/D,"表4.5,表4.6"
共通工,構造物補修工 断面修復工 (左官工法),コンクリート殻積込・運搬(断面修復工),,,,10,m³,ダンプトラック運転,オンロード・ディーゼル 4t積級,日,,"表3.1,表4.7~表4.8"
共通工,構造物補修工 断面修復工 (左官工法),コンクリート殻積込・運搬(断面修復工),,,,10,m³,諸雑費,,式,1,
共通工,軟弱地盤処理工 スラリー撹拌工,スラリー撹拌工杭長○○m,,,,1,本,土木一般世話役,,人,$1/N\times1$,表4.1 表5.1~表5.7
共通工,軟弱地盤処理工 スラリー撹拌工,スラリー撹拌工杭長○○m,,,,1,本,特殊作業員,,人,$1/N\times1$,表4.1 表5.1~5.7 表4.1
共通工,軟弱地盤処理工 スラリー撹拌工,スラリー撹拌工杭長○○m,,,,1,本,普通作業員,,人,$1/N\times1$,表5.1~表5.7
共通工,軟弱地盤処理工 スラリー撹拌工,スラリー撹拌工杭長○○m,,,,1,本,改良材,,t,V,"式5.1,表5.8"
共通工,軟弱地盤処理工 スラリー撹拌工,スラリー撹拌工杭長○○m,,,,1,本,深層混合処理機運転,,日,1/N,表3.1~表3.3 表5.1~表5.7 機械損料
共通工,軟弱地盤処理工 スラリー撹拌工,スラリー撹拌工杭長○○m,,,,1,本,スラリプラント運転,,日,1/N,表3.1~表3.3 表5.1~表5.7 機械損料
共通工,軟弱地盤処理工 スラリー撹拌工,スラリー撹拌工杭長○○m,,,,1,本,諸雑費,,式,1,表5.9
共通工,軟弱地盤処理工 スラリー撹拌工,スラリー撹拌工杭長○○m,,,,1,本,特許料金,,式,1,必要に応じて計上
共通工,軟弱地盤処理工 スラリー撹拌工,スラリプラント現場内移設,,,,1,回,土木一般世話役,,人,表5.10,
共通工,軟弱地盤処理工 スラリー撹拌工,スラリプラント現場内移設,,,,1,回,特殊作業員,,人,表5.10,
共通工,軟弱地盤処理工 スラリー撹拌工,スラリプラント現場内移設,,,,1,回,普通作業員,,人,表5.10,
共通工,軟弱地盤処理工 スラリー撹拌工,スラリプラント現場内移設,,,,1,回,ラフテレーンクレーン運転,油圧伸縮ジブ型 排出ガス対策型(2014年規制) 25t吊,日,表5.10,機械賃料
共通工,軟弱地盤処理工 スラリー撹拌工,スラリプラント現場内移設,,,,1,回,諸雑費,,式,1,
共通工,軟弱地盤処理工 高圧噴射撹拌工,単管工法,,,,1,本,土木一般世話役,,人,$T_T/(6.7\times60)\times a/c$,表4.1
共通工,軟弱地盤処理工 高圧噴射撹拌工,単管工法,,,,1,本,特殊作業員,,人,$T_T/(6.7\times60)\times a/c$,
共通工,軟弱地盤処理工 高圧噴射撹拌工,単管工法,,,,1,本,普通作業員,,人,$T_T/(6.7\times60)\times a/c$,
共通工,軟弱地盤処理工 高圧噴射撹拌工,単管工法,,,,1,本,注入材料,,m³,$Q_T$,式5.1
共通工,軟弱地盤処理工 高圧噴射撹拌工,単管工法,,,,1,本,損耗材料費,,式,1,
共通工,軟弱地盤処理工 高圧噴射撹拌工,単管工法,,,,1,本,ボーリングマシン運転,油圧式 5.5kW級,日,$T_T/(6.7\times60)\times b/c$,表3.1 機械損料
共通工,軟弱地盤処理工 高圧噴射撹拌工,単管工法,,,,1,本,高圧噴射撹拌式 地盤改良機運転,超高圧ポンプ 圧力19.6MPa 吐出量20~100ℓ/min,日,$T_T/(6.7\times60)\times b/c$,表3.1 機械損料
共通工,軟弱地盤処理工 高圧噴射撹拌工,単管工法,,,,1,本,高圧噴射撹拌式 地盤改良機運転,超高圧ポンプ 圧力39.2MPa 吐出量100~130ℓ/min,日,$T_T/(6.7\times60)\times b/c$,表3.1 機械損料
共通工,軟弱地盤処理工 高圧噴射撹拌工,単管工法,,,,1,本,諸雑費,,式,1,表5.7
共通工,軟弱地盤処理工 高圧噴射撹拌工,単管工法,,,,1,本,特許料金,,式,1,必要に応じて計上
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 1,000mm以上2,000mm以下",,,,1,本,土木一般世話役,,人,$T_N/(6.7\times60)\times1$,表4.1
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 1,000mm以上2,000mm以下",,,,1,本,特殊作業員,,人,$T_N/(6.7\times60)\times3$,
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 1,000mm以上2,000mm以下",,,,1,本,普通作業員,,人,$T_N/(6.7\times60)\times3$,
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 1,000mm以上2,000mm以下",,,,1,本,注入材料,,m³,$Q_N$,式5.2
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 1,000mm以上2,000mm以下",,,,1,本,損耗材料費,,式,1,
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 1,000mm以上2,000mm以下",,,,1,本,高圧噴射撹拌式 地盤改良機運転,二重管専用型 11kW,日,$T_N/(6.7\times60)$,表3.2 機械損料
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 1,000mm以上2,000mm以下",,,,1,本,高圧噴射撹拌式 地盤改良機運転,超高圧ポンプ 圧力19.6MPa 吐出量20~100ℓ/min,日,$T_N/(6.7\times60)$,表3.2 機械損料
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 1,000mm以上2,000mm以下",,,,1,本,空気圧縮機運転,可搬式・エンジン駆動・スクリュ型・排出ガス対策型(第1次基準値) 吐出量5m³/min 吐出圧力0.7MPa,日,$T_N/(6.7\times60)$,表3.2 機械賃料
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 1,000mm以上2,000mm以下",,,,1,本,トラッククレーン運転,油圧伸縮ジブ型 4.9t吊,日,$T_N/(6.7\times60)$,表3.2 機械賃料
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 1,000mm以上2,000mm以下",,,,1,本,諸雑費,,式,1,表5.19
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 1,000mm以上2,000mm以下",,,,1,本,特許料金,,式,1,必要に応じて計上
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 2,000mmを超え3,000mm以下",,,,1,本,土木一般世話役,,人,$T_N/(6.7\times60)\times1$,表4.1
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 2,000mmを超え3,000mm以下",,,,1,本,特殊作業員,,人,$T_N/(6.7\times60)\times3$,
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 2,000mmを超え3,000mm以下",,,,1,本,普通作業員,,人,$T_N/(6.7\times60)\times3$,
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 2,000mmを超え3,000mm以下",,,,1,本,注入材料,,m³,$Q_N$,式5.3
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 2,000mmを超え3,000mm以下",,,,1,本,損耗材料費,,式,1,
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 2,000mmを超え3,000mm以下",,,,1,本,高圧噴射撹拌式 地盤改良機運転,二重管専用型 11kW,日,$T_N/(6.7\times60)$,表3.2 機械損料
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 2,000mmを超え3,000mm以下",,,,1,本,高圧噴射撹拌式 地盤改良機運転,超高圧ポンプ 圧力40.0MPa 吐出量200ℓ/min,日,$T_N/(6.7\times60)$,表3.2 機械損料
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 2,000mmを超え3,000mm以下",,,,1,本,空気圧縮機運転,可搬式・エンジン駆動・スクリュ型(低騒音型)・排出ガス対策型(第3次基準値) 吐出量15m³/min 吐出圧力1.05MPa,日,$T_N/(6.7\times60)$,表3.2 機械賃料
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 2,000mmを超え3,000mm以下",,,,1,本,トラッククレーン運転,油圧伸縮ジブ型 4.9t吊,日,$T_N/(6.7\times60)$,表3.2 機械賃料
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 2,000mmを超え3,000mm以下",,,,1,本,諸雑費,,式,1,表5.19
共通工,軟弱地盤処理工 高圧噴射撹拌工,"二重管工法 2,000mmを超え3,000mm以下",,,,1,本,特許料金,,式,1,必要に応じて計上
共通工,軟弱地盤処理工 高圧噴射撹拌工,三重管工法削孔,,,,1,本,土木一般世話役,,人,$T_S/(6.7\times60)\times1$,表4.1
共通工,軟弱地盤処理工 高圧噴射撹拌工,三重管工法削孔,,,,1,本,特殊作業員,,人,$T_S/(6.7\times60)\times1$,
共通工,軟弱地盤処理工 高圧噴射撹拌工,三重管工法削孔,,,,1,本,普通作業員,,人,$T_S/(6.7\times60)\times1$,
共通工,軟弱地盤処理工 高圧噴射撹拌工,三重管工法削孔,,,,1,本,損耗材料費,,式,1,
共通工,軟弱地盤処理工 高圧噴射撹拌工,三重管工法削孔,,,,1,本,高圧噴射撹拌式 地盤改良機運転,掘削専用型(油圧式) スピンドル内径148mm 11kW,日,$T_S/(6.7\times60)$,表3.3 機械損料
共通工,軟弱地盤処理工 高圧噴射撹拌工,三重管工法削孔,,,,1,本,グラウトポンプ運転,二筒複動ピストン式 37~100ℓ/min,日,$T_S/(6.7\times60)$,表3.3 機械損料
共通工,軟弱地盤処理工 高圧噴射撹拌工,三重管工法削孔,,,,1,本,諸雑費,,式,1,表5.27
